player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,team,team_name,team_logo,team_color,team_color2,team_roster,height,weight,college;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,1.0,REG,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,7.0,30.0,1.0,0.0,0.0,54.0,2.0,4.0,1.2041485,0.0,0.5555556,0.23333333,0.1682243,0.46775702,0.0,9.0,14.0,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,2.0,REG,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,5.0,38.0,1.0,0.0,0.0,41.0,12.0,3.0,3.4037018,0.0,0.9268293,0.1724138,0.14642857,0.3611207,0.0,9.8,13.8,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,3.0,REG,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,11.0,61.0,0.0,0.0,0.0,72.0,22.0,4.0,2.9268637,0.0,0.8472222,0.26190478,0.19148937,0.5268997,0.0,6.1,15.1,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,4.0,REG,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,89.0,1.0,0.0,0.0,85.0,4.0,3.0,7.818674,0.0,1.0470588,0.1764706,0.3024911,0.47644967,0.0,14.9,17.9,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,5.0,REG,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,8.0,58.0,0.0,0.0,0.0,67.0,20.0,2.0,0.06308139,0.0,0.86567163,0.17777778,0.2030303,0.40878788,0.0,5.8,9.8,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,6.0,REG,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,5.0,31.0,0.0,0.0,0.0,54.0,19.0,2.0,1.082997,0.0,0.5740741,0.1724138,0.17419355,0.38055617,0.0,3.1,6.1,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,7.0,REG,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-0.7286204,0.0,0.0,0.028571429,0.023746701,0.059479833,0.0,0.0,0.0,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,8.0,REG,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-3.304491,0.0,0.0,0.0882353,0.050561797,0.1677462,0.0,0.0,0.0,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,11.0,REG,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,7.0,31.0,0.0,0.0,0.0,35.0,25.0,2.0,-0.09283184,0.0,0.8857143,0.21875,0.13944224,0.42573455,0.0,3.1,7.1,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,12.0,REG,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,3.0,26.0,0.0,0.0,0.0,40.0,0.0,1.0,-1.3409557,0.0,0.65,0.08571429,0.16064256,0.24102123,0.0,2.6,4.6,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,13.0,REG,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,8.0,73.0,1.0,0.0,0.0,64.0,51.0,2.0,2.313312,0.0,1.140625,0.27586207,0.24427481,0.58478546,0.0,13.3,17.3,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,14.0,REG,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,8.0,12.0,0.0,0.0,0.0,118.0,0.0,0.0,-9.228486,0.0,0.10169491,0.21621622,0.33333334,0.55765766,0.0,1.2,3.2,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,15.0,REG,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,6.0,31.0,0.0,0.0,0.0,69.0,3.0,2.0,0.17224361,0.0,0.44927537,0.16666667,0.25650558,0.4295539,0.0,3.1,6.1,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,16.0,REG,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,5.0,44.0,0.0,0.0,0.0,78.0,3.0,2.0,3.4038126,0.0,0.5641026,0.13513513,0.18932039,0.33522698,0.0,4.4,7.4,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,17.0,REG,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,5.0,41.0,0.0,1.0,1.0,26.0,15.0,2.0,-1.2947948,0.0,1.5769231,0.17857143,0.1027668,0.3397939,0.0,2.1,7.1,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,18.0,POST,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,7.0,56.0,0.0,0.0,0.0,76.0,9.0,4.0,5.09554,0.0,0.7368421,0.25925925,0.3438914,0.62961286,0.0,5.6,10.6,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,19.0,POST,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,76.0,0.0,0.0,0.0,41.0,35.0,3.0,5.201358,0.0,1.8536586,0.16666667,0.1694215,0.36859503,0.0,7.6,13.6,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,20.0,POST,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,5.0,9.0,0.0,0.0,0.0,28.0,2.0,0.0,-11.721471,0.0,0.32142857,0.16666667,0.083333336,0.30833334,0.0,0.9,1.9,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0004541,,Donald Driver,WR,WR,,GB,2010.0,21.0,POST,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,28.0,0.0,0.0,0.0,26.0,2.0,1.0,2.3648922,0.0,1.0769231,0.051282052,0.06632653,0.12335165,0.0,2.8,4.8,GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,GB,72.0,194.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,1.0,REG,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,5.0,35.0,0.0,0.0,0.0,84.0,7.0,2.0,-0.8452205,0.0,0.41666666,0.11627907,0.22764228,0.3337682,0.0,3.5,5.5,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,2.0,REG,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,19.0,0.0,0.0,0.0,17.0,2.0,2.0,2.032332,0.0,1.117647,0.0625,0.07692308,0.14759615,0.0,1.9,3.9,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,3.0,REG,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,9.0,110.0,1.0,0.0,0.0,74.0,38.0,7.0,16.236149,0.0,1.4864864,0.32142857,0.32456142,0.70933586,0.0,17.0,25.0,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,4.0,REG,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,12.0,41.0,0.0,0.0,0.0,82.0,12.0,3.0,-5.742236,0.0,0.5,0.27906978,0.23495702,0.58307457,0.0,4.1,11.1,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,5.0,REG,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,8.0,41.0,0.0,0.0,0.0,46.0,14.0,1.0,1.1289033,0.0,0.8913044,0.2857143,0.26285714,0.6125714,0.0,4.1,9.1,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,6.0,REG,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,7.0,19.0,2.0,0.0,0.0,36.0,4.0,2.0,1.1148312,0.0,0.5277778,0.16666667,0.089108914,0.31237623,0.0,13.9,16.9,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,7.0,REG,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,4.0,27.0,0.0,0.0,0.0,46.0,8.0,1.0,-0.76012427,0.0,0.5869565,0.121212125,0.14556962,0.28371692,0.0,2.7,4.7,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,9.0,REG,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,11.0,72.0,0.0,0.0,0.0,83.0,11.0,4.0,2.4702768,0.0,0.8674699,0.30555555,0.27483442,0.65071744,0.0,7.2,15.2,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,10.0,REG,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,5.0,38.0,0.0,0.0,0.0,36.0,13.0,2.0,3.5157535,0.0,1.0555556,0.10204082,0.10084034,0.22364946,0.0,3.8,7.8,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
00-0006101,,Tony Gonzalez,TE,TE,,ATL,2010.0,11.0,REG,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,8.0,46.0,0.0,0.0,0.0,55.0,23.0,3.0,-1.2795243,0.0,0.8363636,0.20512821,0.16923077,0.42615384,0.0,4.6,8.6,ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,ATL,77.0,243.0,;
